Coprinopsis atramentaria
Coprinopsis lagopus
Coprinopsis lignicola
Coprinopsis picacea
Coprinopsis romagnesiana
Coprinopsis variegata
Coprinus comatus
Cordyceps militaris
Coriolopsis gallica
Cortinarius albofragrans
Cortinarius alboviolaceus
Cortinarius armillatus
Cortinarius bolaris
Cortinarius caperatus
Cortinarius corrugatus
Cortinarius distans
Cortinarius glutinosoarmillatus
Cortinarius iodes
Cortinarius mucosus
Cortinarius seidliae
Cortinarius semisanguineus
Cortinarius smithii
Cortinarius traganus
Cortinarius violaceus
Craterellus calicornucopioides
Craterellus cornucopioides
Craterellus fallax
Craterellus ignicolor
Craterellus lutescens
Craterellus neotubaeformis
Craterellus tubaeformis
Crepidotus applanatus
Crepidotus crocophyllus
Crepidotus mollis
Crinipellis zonata
Crucibulum laeve
Cryptoporus volvatus
Cudonia circinans
Cudoniella clavus
Cuphophyllus pratensis
Cuphophyllus russocoriaceus
Cuphophyllus virgineus
Cyanoboletus pulverulentus
Cyathus olla
Cyathus stercoreus
Cyathus striatus
Cyclocybe cylindracea
Cyclocybe erebia
Cymatoderma caperatum
Cyptotrama asprata
Cyptotrama chrysopepla
Cystoderma amianthinum
Cystoderma fallax
Cystodermella cinnabarina
Dacrymyces chrysospermus
Dacrymyces palmatus
Dacryopinax elegans
Dacryopinax spathularia
Daedalea quercina
Daedaleopsis confragosa
Deconica coprophila
Deconica horizontalis
Deconica inquilina
Deconica montana
Dendrocollybia racemosa
Dendrophora albobadia
Dentocorticium portoricense
Desarmillaria tabescens
Dibaeis baeomyces
Dimelaena oreina
Diploschistes scruposus
Discina perlata
Disciotis venosa
Donkia pulcherrima
Ductifera pululahuana
Earliella scabrosa
Echinoderma asperum
Entoloma abortivum
Entoloma conicum
Entoloma formosum
Entoloma incanum
Entoloma lividoalbum
Entoloma medianox
Entoloma murrayi
Entoloma quadratum
Entoloma rhodopolium
Entoloma sericeum
Entoloma serrulatum
Entoloma strictius
Entoloma vernum
Entoloma violaceum
Entonaema liquescens
Evernia prunastri
Exidia crenata
Exidia glandulosa
Exidia recisa
Exsudoporus frostii
Favolus brasiliensis
Fistulina hepatica
Flammulaster erinaceellus
Flammulaster muricatus
Flammulina velutipes
Flavoparmelia baltimorensis
Flavoparmelia caperata
Floccularia albolanaripes
Fomes excavatus
Fomes fasciatus
Fomes fomentarius
Fomitopsis betulina
Fomitopsis cajanderi
Fomitopsis mounceae
